time,Lx,V,pressure,U,T,work_cum,dS_IG,delta_a,alpha,alpha_over_T,PV_gamma,T_V_gamma_minus1,impulse_events
15.9,19.23,7692,0.38511155034,4663.8624178,0.34062681988,152.777379582,1.14550680633,1.93055261974,0.0756561568836,0.222156413141,1154299.93235,132.730793377,22
16.1,19.22,7688,0.439249804444,4666.10667645,0.340790730094,154.5343788,1.83904482463,2.38357792712,-0.1393192776,-0.408910153855,1315428.36136,132.748622348,23
16.3,19.21,7684,0.580631435912,4667.95202217,0.340925505563,156.856904544,0.663368177793,2.54864017216,-0.703294453734,-2.06330557187,1737318.61164,132.755054085,32
16.5,19.2,7680,0.500156213073,4669.88841216,0.341066930482,158.857529396,0.925697074146,2.31628405361,-0.379894055557,-1.11407116994,1495228.96515,132.764029773,28
16.7,19.19,7676,0.315680635123,4671.68560413,0.341198189025,160.120251937,0.5129045922,1.43769099694,0.359500972558,1.05384538145,942915.739304,132.769003229,22
16.9,19.18,7672,0.456258570281,4673.53375853,0.341333169627,161.945286218,0.657704423433,2.04948622798,-0.201331833801,-0.589956289183,1361628.68565,132.77538103,23
17.1,19.17,7668,0.589048767312,4675.63277952,0.341486472357,164.301481287,1.38773279818,2.82998067546,-0.73095968514,-2.14100368588,1756391.89829,132.788838968,31
17.3,19.16,7664,0.656245011398,4677.51153034,0.34162368758,166.926461333,0.737730378243,2.87695560393,-0.998204782219,-2.92252945648,1955052.87936,132.795993876,30
17.5,19.15,7660,0.629299831892,4679.87505262,0.341796308254,169.44366066,2.15141359497,3.25235886263,-0.888836583873,-2.6011430432,1873148.59888,132.81686165,33
17.7,19.14,7656,0.582386595703,4682.13317318,0.341961230878,171.773207043,1.83720855303,2.95764898236,-0.699528416912,-2.04613002966,1732000.09664,132.834684367,28
17.9,19.13,7652,0.495360837924,4684.51235737,0.342134995426,173.754650395,2.18538424521,2.72894990928,-0.34976571908,-1.02256292501,1471905.53427,132.855887843,28
18.1,19.12,7648,0.503906126809,4685.99291235,0.342243128276,175.770274902,-0.446094276242,1.86297592535,-0.382420949504,-1.11757210308,1495992.57354,132.851559382,29
18.3,19.11,7644,0.51133361445,4688.25951488,0.342408670383,177.81560936,1.8458759807,2.67722561294,-0.410623081436,-1.19950924613,1516720.2121,132.869470866,32
18.5,19.1,7640,0.563819812382,4690.09312152,0.342542588484,180.070888609,0.576170081563,2.45260346087,-0.618996824926,-1.80741860655,1670946.70024,132.875062235,29
18.7,19.09,7636,0.389221781546,4691.62965895,0.342654810031,181.627775735,-0.295360826451,1.45569689123,0.0808405365841,0.235962765648,1152498.41213,132.872195914,24
18.9,19.08,7632,0.361506040976,4693.14590376,0.342765549501,183.073799899,-0.358536646092,1.32315000547,0.193094812936,0.563434716378,1069496.81401,132.868716588,24
19.1,19.07,7628,0.41326715418,4695.51486804,0.342938567634,184.726868516,2.12426054849,2.3813757187,-0.0124114390672,-0.0362005674373,1221561.5759,132.889332252,26
19.3,19.06,7624,0.462214889382,4697.15553979,0.343058394668,186.575728074,-0.00451042035394,1.8473124902,-0.206640739846,-0.602453804321,1365050.58072,132.889288476,26
19.5,19.05,7620,0.677959891278,4699.42269567,0.343223977189,189.287567639,1.81672055164,3.3352312097,-1.06807533881,-3.11264104285,2000455.77008,132.906922037,32
19.7,19.04,7616,0.475566244098,4701.54113871,0.343378698416,191.189832615,1.37793850832,2.37531310971,-0.256870061627,-0.748234956705,1402025.50091,132.920298226,27
19.9,19.03,7612,0.418475840248,4703.22128925,0.343501408797,192.863735976,0.0967447044806,1.70712936749,-0.0269788286072,-0.078554694841,1232636.4975,132.921237415,24
20.1,19.02,7608,0.420556580064,4705.36720537,0.34365813653,194.545962296,1.44786049991,2.17968190166,-0.033765786071,-0.098276408443,1237680.66251,132.935293914,23
20.3,19.01,7604,0.449251225823,4707.49856046,0.343813800793,196.3429672,1.40013810052,2.27828272953,-0.14692763535,-0.42744329586,1320969.48233,132.948888516,25
20.5,19,7600,0.51947049639,4709.66551089,0.343972064774,198.420849185,1.49828910442,2.59313301984,-0.426182595828,-1.2392886134,1526101.92584,132.963437652,28
20.7,18.99,7596,0.704892561017,4712.17324609,0.34415521809,201.240419429,2.48310444229,3.67391620054,-1.16618099476,-3.3894339719,2069019.1997,132.987553343,39
20.9,18.98,7592,0.513964734284,4714.28884044,0.344309731262,203.296278366,1.33782389143,2.51638136597,-0.40078702033,-1.1642917209,1507279.01671,133.000547984,29
21.1,18.97,7588,0.676113320681,4715.61083213,0.344406283387,206.000731649,-0.971536485413,2.36989691456,-1.04790522098,-3.04306912773,1981063.34659,132.991111064,39
21.3,18.96,7584,0.469972467859,4717.70703189,0.344559380068,207.88062152,1.27198635569,2.31806733317,-0.221867569602,-0.644059875174,1375845.36106,133.003466508,25
21.5,18.95,7580,0.463893282004,4719.52974016,0.344692502203,209.736194649,0.473330819657,2.01869520721,-0.19598693931,-0.568694679988,1356854.95805,133.008064502,29
21.7,18.94,7576,0.515285987546,4721.63110305,0.344845975975,211.797338599,1.27682586225,2.50135423116,-0.399991339079,-1.160171192,1505849.63934,133.020468537,23
21.9,18.93,7572,0.446843614549,4723.06869505,0.344950971009,213.584713057,-0.652542558132,1.56231352601,-0.124721530715,-0.361618100111,1304687.6908,133.014129109,25
22.1,18.92,7568,0.565642513751,4724.88498426,0.345083624325,215.847283112,0.441092747016,2.4147546826,-0.598465471632,-1.73459555703,1650101.2095,133.018414277,25
22.3,18.91,7564,0.597515127804,4727.08441671,0.345244260642,218.237343623,1.54633887949,2.92380093528,-0.724368486217,-2.09862154489,1741545.28629,133.033437879,31
22.5,18.9,7560,0.337116165591,4728.94185656,0.34537991941,219.585808285,0.550665390668,1.53861607932,0.31882377249,0.923291659049,981708.544688,133.038788331,23
22.7,18.89,7556,0.603713833583,4730.85888097,0.345519929957,222.00066362,0.718447715607,2.66304304358,-0.746018638635,-2.1595565242,1756511.68352,133.045769336,35
22.9,18.88,7552,0.457509015707,4732.34200728,0.345628250605,223.830699683,-0.541690584052,1.64284183203,-0.159715519083,-0.462174461499,1329952.99621,133.040505808,24
23.1,18.87,7548,0.496895647072,4735.18564546,0.345835936712,225.818282271,3.3889496597,3.15925124944,-0.315613071293,-0.912883348355,1443172.83241,133.073439155,25
23.3,18.86,7544,0.443226940987,4737.53927628,0.346007834961,227.591190035,1.96534734536,2.45276442398,-0.0991336020171,-0.286577999474,1286161.83027,133.092541865,25
23.5,18.85,7540,0.302214756105,4739.88628686,0.346179249698,228.800049059,1.94027801648,1.88037671625,0.46663386233,1.34828826678,876195.951303,133.111403596,18
23.7,18.84,7536,0.490632836043,4742.29304373,0.346355028026,230.762580403,2.10685322952,2.69206538396,-0.285308515679,-0.823954928605,1421209.47225,133.131887658,30
23.9,18.83,7532,0.382456741466,4744.72525916,0.346532665729,232.292407369,2.17422173197,2.28307270665,0.149142722596,0.430496093205,1106877.36406,133.15303002,22
24.1,18.82,7528,0.498868681059,4747.57291941,0.346740645589,234.287882094,3.36624470094,3.1623385295,-0.314678279914,-0.907804396265,1442510.30334,133.185770364,28
24.3,18.81,7524,0.484924288189,4749.86751601,0.346908232253,236.227579246,1.76456934629,2.55169292622,-0.257096318853,-0.741286628051,1400947.67595,133.202935911,27
24.5,18.8,7520,0.560596704016,4752.04333883,0.347067144232,238.469966062,1.41657704482,2.73392161006,-0.558098796173,-1.60841094679,1618130.7375,133.216717826,32
24.7,18.79,7516,0.425978123934,4754.10261345,0.347217544073,240.173878558,1.0754647552,2.07725185191,-0.0179772301672,-0.0517863362682,1228471.96224,133.227182003,26
24.9,18.78,7512,0.651985427655,4755.67126861,0.34733211135,242.781820269,-0.342153722259,2.48912033567,-0.920465173228,-2.65053813227,1878583.57624,133.223852789,31
25.1,18.77,7508,0.457926513693,4757.96092522,0.34749933722,244.613526324,1.72875394936,2.4323023602,-0.142645749447,-0.410590941846,1318265.52986,133.240674714,26
25.3,18.76,7504,0.588611175257,4760.61596018,0.347693248626,246.967971025,2.77389671807,3.31864091718,-0.663605954596,-1.90912840012,1692972.40348,133.267671012,28
25.5,18.75,7500,0.653438125053,4763.1272209,0.347876659429,249.581723525,2.35375970475,3.43235471092,-0.921093995063,-2.64845843501,1877759.24518,133.290582715,34
