time,Lx,V,dt,events,P_impulse_proxy,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),alpha_upper,alpha_IG,sigma_upper,sigma_IG
55.6,17.245,6898,0.5,91,0.706792851833,0.4930176663,5101.25379321,0.37257185168,588.785688311,1232351.12253,135.007791689,-0.217957431196,-2.14463079079,0.585400816805,5.76015513571
56.1,17.22,6888,0.5,80,0.639338624677,0.494337813208,5107.49828607,0.373027920396,595.179074557,1232666.88627,135.042384561,-0.148893388791,-1.45661355017,0.399392259407,3.90722638264
56.6,17.195,6878,0.5,78,0.551140224416,0.495639828778,5113.5161135,0.373467434524,600.690476802,1232924.50385,135.070607346,0.506425190466,-0.561518588009,-1.35680734549,1.50441281197
57.1,17.17,6868,0.5,66,0.438571228719,0.496920452423,5119.27450086,0.373888000355,605.076189089,1233116.23632,135.091612217,1.37267507472,0.577084728289,-3.67341966262,-1.54433807893
57.6,17.145,6858,0.5,78,0.580949966813,0.498243118235,5125.42695728,0.374337347157,610.885688757,1233399.52511,135.122647361,0.342956748899,-0.833686492244,-0.916720477431,2.22843691413
58.1,17.12,6848,0.5,85,0.609507948368,0.499553813816,5131.41677552,0.374774815624,616.980768241,1233640.25292,135.149019821,-0.105261241102,-1.10609940055,0.28102932066,2.95309422408
58.6,17.095,6838,0.5,76,0.563182871097,0.500840534446,5137.12136182,0.375191452075,622.612596952,1233809.08676,135.167516078,0.0727575841142,-0.629861367226,-0.194028951028,1.67970585973
59.1,17.07,6828,0.5,94,0.733690315709,0.502273018159,5144.28025198,0.375714304118,629.949500109,1234323.60976,135.223883628,-0.178012992698,-2.32134089686,0.474128720496,6.18277560857
59.6,17.045,6818,0.5,75,0.565459223071,0.503567173614,5149.98148455,0.376130695629,635.604092339,1234484.77995,135.24154031,0.0466403335071,-0.625395696371,-0.124069012956,1.6636293294
60.1,17.02,6808,0.5,84,0.701322125313,0.504928392387,5156.32874306,0.37659426987,642.617313592,1234797.39268,135.27578798,-0.665962742692,-1.97074831524,1.76947164826,5.23630384423
60.6,16.995,6798,0.5,76,0.537510775278,0.506196622206,5161.68695663,0.376985608869,647.992421345,1234869.81972,135.283722581,-0.0168941775556,-0.319486911718,0.0448371248551,0.847917840516
61.1,16.97,6788,0.5,66,0.508012223992,0.507500494373,5167.37003371,0.377400674387,653.072543585,1235016.78205,135.299822749,0.602954839372,-0.0116411137521,-1.59853076005,0.0308624745982
