time,T,V,W,Q,p_mech,p_IG,sigma,dS_IG_win
16,0.505776673,7880,14.6199102,505.715754,0.155089004,0.131450587,0.113318757,14.9765477
16.2,0.50744023,7878.4,14.9523525,510.470231,0.207776481,0.131909727,0.255800483,9.67169692
16.4,0.508941135,7876.8,15.1785477,514.563258,0.141371971,0.132326763,0.0418633694,8.6569721
16.6,0.511536583,7875.2,15.7591797,522.113897,0.362894994,0.133028612,0.758702089,15.210425
16.8,0.513007419,7873.6,16.001539,526.311887,0.151474574,0.133438223,0.0689455655,8.40420118
17,0.515518428,7872,16.2102878,533.77303,0.130468023,0.134118615,0.0252725924,14.5835713
17.2,0.518474775,7870.4,16.7312024,542.864708,0.325571611,0.134915168,0.63853371,17.1503949
17.4,0.525229236,7868.8,17.0197146,562.967078,0.180320129,0.136700574,0.389143194,39.3458313
17.6,0.528337486,7867.2,17.2224516,572.475532,0.126710595,0.137537519,0.0206257496,17.7097124
17.8,0.530638839,7865.6,17.5041139,579.528831,0.176038986,0.13816471,0.143216759,12.9355218
18,0.534445228,7864,17.8065608,591.003702,0.189029305,0.139184108,0.227552029,21.540833
18.2,0.536214582,7862.4,18.1949649,595.880508,0.242752548,0.139673314,0.324379481,9.73675223
18.4,0.538332259,7860.8,18.3598482,601.795481,0.103052031,0.140253469,-0.0866940944,11.6915689
18.6,0.53909225,7859.2,18.7160101,603.524831,0.222601207,0.140480065,0.246829609,3.91694365
18.8,0.542329467,7857.6,19.1043236,613.111159,0.242695977,0.141352417,0.353976519,17.9750326
19,0.544326061,7856,19.295997,618.984065,0.119795858,0.141901702,-0.044219292,10.8717794
19.2,0.545090701,7854.4,19.7458313,621.015777,0.281146411,0.142129985,0.411121539,3.89520648
19.4,0.548246022,7852.8,20.0195227,630.32236,0.171057134,0.142981848,0.133051099,17.3141235
19.6,0.548684731,7851.2,20.2423637,631.697999,0.139275634,0.143125424,-0.0102012196,2.03992477
19.8,0.550599142,7849.6,20.4807786,637.201349,0.149009284,0.143654077,0.0342166095,10.2824266
20,0.551512106,7848,20.6248948,639.902417,0.0900726653,0.14392161,-0.151965684,4.67205657
20.2,0.554278416,7846.4,20.9760081,648.080835,0.219445782,0.144672996,0.25427148,14.9526495
20.4,0.55549647,7844.8,21.2722058,651.819744,0.185123605,0.145020494,0.122947836,6.32580069
20.6,0.557229828,7843.2,21.6084906,656.804611,0.210177964,0.145502689,0.200641389,9.15312697
20.8,0.55804767,7841.6,21.9855241,659.275006,0.235645961,0.145745974,0.261100611,4.08761318
21,0.560203703,7840,22.363118,665.862863,0.23599616,0.146338927,0.278923067,11.4279742
21.2,0.560234174,7838.4,22.5511007,665.434031,0.117489188,0.146376759,-0.0824542127,-0.250915234
21.4,0.559967552,7836.8,22.8778488,664.79862,0.204217557,0.146336967,0.165773487,-1.88043564
21.6,0.559110047,7835.2,23.268604,662.102917,0.244221989,0.146142712,0.28432457,-5.1260758
21.8,0.559028714,7833.6,23.4271962,661.873541,0.0991201821,0.146151298,-0.134532863,-0.865173205
22,0.558979277,7832,23.7205406,661.998324,0.183340195,0.146168228,0.106454301,-0.690021238
22.2,0.561389858,7830.4,23.9519269,668.862769,0.144616453,0.146828569,0.022140193,12.8009919
22.4,0.561159491,7828.8,24.2828498,668.121299,0.206826836,0.146798314,0.171457233,-1.67936892
22.6,0.564179632,7827.2,24.553459,676.941079,0.16913071,0.147618546,0.105224504,16.0704645
22.8,0.567386525,7825.6,24.7911956,686.179922,0.148585423,0.148487989,0.0495716582,16.9936436
23,0.568999995,7824,24.8991953,691.118197,0.0674998157,0.148940694,-0.216590909,8.30464243
23.2,0.56982281,7822.4,25.0778573,693.230041,0.111663708,0.149186582,-0.102111496,4.0202685
23.4,0.570317944,7820.8,25.3839206,694.701203,0.19128959,0.149346761,0.118869862,2.24923964
23.6,0.571171678,7819.2,25.649511,697.268043,0.165994011,0.149600931,0.0493992139,4.17614536
23.8,0.57626035,7817.6,25.8822931,711.9744,0.145488799,0.150964644,0.105322911,26.8286911
24,0.578187956,7816,26.1315226,717.533147,0.155768446,0.151500631,0.0289633288,9.83957215
24.2,0.582508543,7814.4,26.5194986,730.438974,0.242485013,0.152663992,0.331681179,22.4513004
24.4,0.584760619,7812.8,26.9693346,737.387052,0.281147466,0.153285601,0.372734901,11.4345952
24.6,0.586699141,7811.2,27.6038627,742.776434,0.396580067,0.153825256,0.678870718,9.74759602
24.8,0.587725381,7809.6,27.9222431,745.972142,0.198987773,0.154125894,0.126861784,4.94922903
25,0.5883282,7808,28.0450748,747.788817,0.0767697933,0.154315594,-0.209234574,2.7296517
25.2,0.586225662,7806.4,28.3288888,741.497264,0.177383754,0.153795624,0.0841338454,-11.4179411
25.4,0.587596963,7804.8,28.532255,745.03936,0.127103876,0.154186985,-0.0653244069,6.75783895
25.6,0.589939846,7803.2,28.6557981,751.700973,0.0772144397,0.154833505,-0.186180725,11.8045237
25.8,0.590933857,7801.6,28.7755017,753.908641,0.0748147233,0.155126197,-0.213055646,4.75179156
26,0.591942797,7800,28.9963771,756.625371,0.138047135,0.155422929,-0.0424556455,4.82049677
26.2,0.594820841,7798.4,29.2512619,765.191698,0.159303036,0.156210643,0.0444371936,14.4798176
26.4,0.597033193,7796.8,29.5247231,771.749254,0.170913234,0.156823822,0.0589451023,10.9844419
26.6,0.601567692,7795.2,29.615928,785.139669,0.0570030555,0.158047341,-0.180991842,22.8235299
26.8,0.602861167,7793.6,29.883037,788.742823,0.166943138,0.158419687,0.029745483,6.17783832
27,0.607791098,7792,30.1944817,803.540572,0.1946529,0.159747968,0.193536133,24.598803
27.2,0.608517882,7790.4,30.641349,806.15179,0.279292096,0.15997184,0.31596944,3.25066083
27.4,0.60965464,7788.8,31.11735,809.420848,0.297500621,0.160303603,0.365454963,5.31271415
27.6,0.609761215,7787.2,31.3613573,809.931084,0.152504549,0.160364569,-0.0205343661,0.116227644
27.8,0.611051386,7785.6,31.7185066,813.874779,0.223218306,0.160736904,0.170504022,6.07222397
28,0.61279597,7784,32.2201542,819.331128,0.313529744,0.16122895,0.410171015,8.33730562
28.2,0.615042219,7782.4,32.5018202,826.125736,0.176041276,0.161853215,0.0574906682,10.8190439
28.4,0.614278125,7780.8,32.6747593,823.368766,0.108086935,0.161685379,-0.137189062,-4.23994664
28.6,0.61605123,7779.2,32.8538795,827.945874,0.111950141,0.162185433,-0.117678565,8.43332864
28.8,0.616623072,7777.6,33.2077425,829.504899,0.221164362,0.162369375,0.153925088,2.4289519
29,0.617686979,7776,33.3768123,832.285358,0.105668618,0.16268299,-0.143079427,4.87443186
29.2,0.616840002,7774.4,33.4733936,828.901437,0.0603632892,0.162493353,-0.261974995,-4.63668095
29.4,0.616150873,7772.8,33.7612723,826.703852,0.179924218,0.162345228,0.0476118895,-3.85546436
