time,T,V,W_core,Q_hist,p_mech,p_IG,sigma
116,1.00176583,7957.6,11.4940969,67.5214487,0.367488764,0.257818491,0.116057235
116.5,1.00134198,7957.2,11.6124509,65.9242691,0.295884987,0.257722362,0.0155223019
117,0.998323864,7956.8,11.7573056,55.887865,0.362136742,0.256958485,0.0561547978
117.5,1.00031479,7956.4,11.8569682,61.5607905,0.249156521,0.257483873,0.00276531904
118,1.00500944,7956,11.9749339,77.2966867,0.294914377,0.258705295,0.0480351517
118.5,1.00818997,7955.6,12.0616523,85.9678536,0.216795941,0.259537063,-0.00163630156
119,1.00343294,7955.2,12.1326586,71.9429654,0.177515636,0.258325456,0.00220176222
119.5,1.00619305,7954.8,12.2258001,79.0011536,0.232853746,0.259049049,0.00116813258
120,1.01015424,7954.4,12.3145386,91.4195955,0.221846447,0.260081952,0.00854327984
120.5,1.008072,7954,12.4242496,84.3463117,0.274277381,0.259558895,0.0123872742
121,1.01184296,7953.6,12.5036894,95.1596644,0.198599412,0.260542946,-0.00309785449
121.5,1.01480539,7953.2,12.6146009,104.508884,0.277278945,0.261318894,0.0194084617
122,1.0079016,7952.8,12.755312,83.9339116,0.351777661,0.25955418,0.108341174
122.5,1.01217536,7952.4,12.8605596,96.4209659,0.263119015,0.260667866,0.028432745
123,1.01194256,7952,12.9509353,95.6492792,0.225939279,0.260621022,-0.0136251066
123.5,1.01819203,7951.6,13.0302061,114.759768,0.198177061,0.262243734,0.0329369739
124,1.0222161,7951.2,13.1419285,127.273002,0.279305786,0.263293411,0.0301342367
124.5,1.01628724,7950.8,13.2121944,108.624623,0.175664743,0.261779477,0.0181820945
125,1.01582164,7950.4,13.316593,107.431045,0.260996547,0.261672712,5.89187725e-05
125.5,1.01139128,7950,13.4265192,94.276716,0.274815492,0.260544571,0.0350343936
126,1.0095984,7949.6,13.5171683,90.1007813,0.226622827,0.260095794,-0.00842112021
126.5,1.0095116,7949.2,13.6060092,90.2674062,0.222102326,0.260086519,-0.0150365748
127,1.01147017,7948.8,13.7231741,96.6590189,0.292912244,0.260604231,0.0185459105
127.5,1.00420103,7948.4,13.8428668,76.0133059,0.299231596,0.258744365,0.0962285784
128,1.0041308,7948,13.9642116,74.0770047,0.303362047,0.25873929,0.0177857822
128.5,1.00560719,7947.6,14.0837073,77.5874005,0.298739262,0.25913276,0.0190709266
129,1.00600608,7947.2,14.214396,77.7627203,0.326721673,0.259248598,0.0270722504
129.5,1.01079918,7946.8,14.3453882,92.0214526,0.327480689,0.260496894,0.0611571207
130,1.01375116,7946.4,14.4608264,101.452247,0.288595377,0.261270812,0.0238338525
130.5,1.00988639,7946,14.5287416,90.7999169,0.169787926,0.260287858,-0.0134047941
131,1.00910961,7945.6,14.6569344,87.5212648,0.320482211,0.260100745,0.0248468222
131.5,1.00269136,7945.2,14.7887204,67.6759099,0.329464785,0.258459436,0.0909958414
132,1.000383,7944.8,14.8867653,61.4853389,0.245112231,0.257877403,0.00306424889
132.5,1.00111471,7944.4,14.9968508,63.5836201,0.275213756,0.258079015,0.00766979177
133,0.996254385,7944,15.0980418,49.0632009,0.252977554,0.256838996,0.0348916346
133.5,0.994694631,7943.6,15.1844518,44.6843492,0.216025005,0.256449797,-0.0124807084
134,0.99260442,7943.2,15.316082,38.0148418,0.329075493,0.25592379,0.0362828717
134.5,0.992476008,7942.8,15.4413622,37.0390092,0.313200536,0.255903568,0.0231208434
135,0.993523565,7942.4,15.5827058,39.5140854,0.353359062,0.256186576,0.0408337829
135.5,0.99323445,7942,15.6937581,39.1136659,0.277630641,0.256124925,0.00879359964
136,0.993629416,7941.6,15.8010669,40.7185417,0.268271977,0.25623968,0.00508913421
136.5,0.994177459,7941.2,15.9065246,41.4802815,0.263644455,0.256393925,0.0033867261
137,0.990394104,7940.8,16.0204774,29.4118881,0.284882008,0.255431081,0.0342548243
137.5,0.990663985,7940.4,16.1607231,30.7414771,0.350614219,0.255513556,0.0385153699
138,0.992782626,7940,16.2937912,36.9930179,0.332670106,0.256072899,0.0378693477
138.5,0.993240129,7939.6,16.3828068,38.1933155,0.222539005,0.256203812,-0.0132289801
139,0.993347096,7939.2,16.4758157,38.7930072,0.232522311,0.256244313,-0.0095319403
139.5,0.99476488,7938.8,16.5526631,42.5342921,0.192118418,0.256622975,-0.022811928
140,0.998456177,7938.4,16.6598262,54.0407409,0.267907738,0.257588211,0.0251824924
140.5,0.991964795,7938,16.7959221,34.3418335,0.340239913,0.255926417,0.0994924705
141,0.98912282,7937.6,16.891,25.7616762,0.237694606,0.255206049,0.00557711522
141.5,0.991357831,7937.2,17.0098579,32.8791762,0.297144849,0.2557956,0.0245053391
142,0.992103127,7936.8,17.0924903,34.742296,0.206581008,0.256000807,-0.0190553986
142.5,0.990765974,7936.4,17.181309,30.4466997,0.222046598,0.255668655,-0.0107763169
143,0.997102534,7936,17.3255115,49.7708651,0.360506298,0.257316783,0.10369483
143.5,0.992062446,7935.6,17.4148435,34.206123,0.223330084,0.25602902,0.0263297125
144,0.993799374,7935.2,17.5207554,39.9838063,0.264779672,0.25649021,0.00803654223
144.5,1.00083708,7934.8,17.6519445,61.6614694,0.327972793,0.258319597,0.104148281
145,0.995297652,7934.4,17.7237265,44.7763909,0.179455022,0.256902802,0.0162802601
145.5,0.992494098,7934,17.816839,36.4391279,0.232781128,0.256192074,0.00280050121
146,0.994037216,7933.6,17.9394445,40.6718865,0.306513786,0.256603335,0.0237919272
146.5,0.997441454,7933.2,18.0358122,51.2445841,0.240919316,0.257495096,0.0112879917
147,0.998919647,7932.8,18.1036066,55.5734725,0.169485935,0.257889703,-0.0320303184
147.5,0.994239765,7932.4,18.2289813,41.433368,0.313436867,0.256694448,0.0567559742
148,0.994881738,7932,18.3538734,43.4093929,0.31223023,0.256873147,0.0228991902
148.5,0.999463252,7931.6,18.4968491,58.5537986,0.357439149,0.258069083,0.0721466368
149,0.993951377,7931.2,18.6466531,42.1294063,0.374510088,0.256658818,0.094490609
149.5,0.998518701,7930.8,18.7277424,55.303296,0.202723203,0.2578512,0.0101538098
150,0.998324108,7930.4,18.8021021,54.3217073,0.185899203,0.257813953,-0.0287532339
